system:index,Supf_km2,burned_pixels,fna,nam,year,.geo
5_00000000000000000004,91414,186.89803921568628,Provincia de La Rioja,La Rioja,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000005,101486,1414.3529411764705,Provincia de Catamarca,Catamarca,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000006,22599,7236.494117647059,Provincia de Tucumán,Tucumán,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000007,99778,11458.705882352948,Provincia del Chaco,Chaco,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000008,75476,16527.231372549017,Provincia de Formosa,Formosa,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000009,244386,299.16078431372546,Provincia de Santa Cruz,Santa Cruz,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000a,224378,435.0,Provincia del Chubut,Chubut,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000b,149089,2124.819607843138,Provincia de Mendoza,Mendoza,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000c,78389,1464.6941176470589,Provincia de Entre Ríos,Entre Ríos,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000d,88371,370.91372549019604,Provincia de San Juan,San Juan,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000e,53240,3160.5333333333333,Provincia de Jujuy,Jujuy,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000f,136990,14874.23137254902,Provincia de Santiago del Estero,Santiago del Estero,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000010,202225,6071.282352941175,Provincia de Río Negro,Río Negro,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000011,89125,25853.14117647059,Provincia de Corrientes,Corrientes,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000012,29907,408.28235294117644,Provincia de Misiones,Misiones,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000013,155369,11446.372549019608,Provincia de Salta,Salta,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000014,164670,3348.035294117647,Provincia de Córdoba,Córdoba,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000015,306127,6050.086274509804,Provincia de Buenos Aires,Buenos Aires,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000016,143211,10227.101960784315,Provincia de La Pampa,La Pampa,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000017,32820,0.0,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur","Tierra del Fuego, Antártida e Islas del Atlántico Sur",2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000000,206,0.0,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000001,94365,1616.164705882353,Provincia del Neuquén,Neuquén,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000002,75564,5756.541176470588,Provincia de San Luis,San Luis,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000003,133296,29939.462745098055,Provincia de Santa Fe,Santa Fe,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000004,91414,368.45882352941175,Provincia de La Rioja,La Rioja,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000005,101486,1107.4078431372548,Provincia de Catamarca,Catamarca,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000006,22599,5796.396078431372,Provincia de Tucumán,Tucumán,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000007,99778,12503.400000000001,Provincia del Chaco,Chaco,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000008,75476,15501.678431372551,Provincia de Formosa,Formosa,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000009,244386,306.0,Provincia de Santa Cruz,Santa Cruz,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000a,224378,57.52156862745098,Provincia del Chubut,Chubut,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000b,149089,969.3254901960781,Provincia de Mendoza,Mendoza,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000c,78389,11416.847058823532,Provincia de Entre Ríos,Entre Ríos,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000d,88371,303.9490196078431,Provincia de San Juan,San Juan,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000e,53240,2869.1686274509802,Provincia de Jujuy,Jujuy,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000f,136990,23797.33725490196,Provincia de Santiago del Estero,Santiago del Estero,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000010,202225,1351.8745098039215,Provincia de Río Negro,Río Negro,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000011,89125,24618.36862745098,Provincia de Corrientes,Corrientes,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000012,29907,251.9921568627451,Provincia de Misiones,Misiones,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000013,155369,10609.901960784315,Provincia de Salta,Salta,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000014,164670,6409.137254901961,Provincia de Córdoba,Córdoba,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000015,306127,4006.13725490196,Provincia de Buenos Aires,Buenos Aires,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000016,143211,6574.407843137253,Provincia de La Pampa,La Pampa,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000017,32820,43.509803921568626,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur","Tierra del Fuego, Antártida e Islas del Atlántico Sur",2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000000,206,0.0,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000001,94365,456.4627450980392,Provincia del Neuquén,Neuquén,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000002,75564,4150.313725490196,Provincia de San Luis,San Luis,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000003,133296,39215.145098039226,Provincia de Santa Fe,Santa Fe,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000004,91414,256.4666666666667,Provincia de La Rioja,La Rioja,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
